confirmed,deaths,estimated_population,city_ibge_code
228,2,7102,2200053
829,10,5131,2200103
1702,77,17470,2200202
402,13,7665,2200251
553,9,4918,2200277
858,15,14339,2200301
5568,107,40605,2200400
709,14,5445,2200459
1736,36,17604,2200509
901,12,6783,2200608
291,15,9938,2200707
409,11,3170,2200806
699,15,5827,2200905
188,2,2551,2200954
172,3,4720,2201002
410,10,7863,2201051
527,23,11326,2201101
2672,36,11671,2201150
156,5,3952,2201176
5936,105,47185,2201200
114,4,3352,2201309
810,12,7027,2201408
1453,40,26905,2201507
324,7,4030,2201556
624,8,3587,2201572
1474,41,10473,2201606
1140,12,5507,2201705
183,4,6210,2201739
607,7,6815,2201770
451,11,4505,2201804
3840,52,25387,2201903
240,13,5651,2201919
518,9,5685,2201929
884,14,6426,2201945
739,21,8347,2201960
160,5,3848,2201988
1494,37,19807,2202000
722,10,8264,2202026
759,17,10630,2202059
83,2,3573,2202075
499,21,7674,2202083
551,2,5781,2202091
254,2,5620,2202109
404,2,5069,2202117
518,11,5965,2202133
519,8,7311,2202174
6817,168,46893,2202208
305,7,3944,2202251
1604,50,21258,2202307
852,30,11445,2202406
144,11,4114,2202455
442,17,10964,2202505
194,12,5890,2202539
749,5,5085,2202554
2249,39,19715,2202604
157,2,5451,2202653
1568,50,27845,2202703
625,13,4899,2202711
425,7,6168,2202729
340,6,4032,2202737
690,14,6516,2202752
770,5,7661,2202778
527,7,4807,2202802
131,6,4685,2202851
2065,35,26709,2202901
70,4,8323,2203008
1059,13,10444,2203107
1212,18,11426,2203206
386,3,4968,2203230
509,3,4459,2203255
309,2,5367,2203271
3806,39,13840,2203305
308,10,7029,2203354
655,12,6922,2203404
276,4,4354,2203420
321,7,9565,2203453
716,33,14575,2203503
301,16,4930,2203602
2945,93,39848,2203701
189,6,5319,2203750
188,5,4462,2203800
101,4,2560,2203859
9801,180,60025,2203909
76,6,5347,2204006
436,7,4323,2204105
501,6,3200,2204154
692,8,9372,2204204
1091,11,11659,2204303
517,6,5460,2204352
908,7,10694,2204402
1474,28,10497,2204501
108,2,4568,2204550
811,9,3879,2204600
