Ano,Código do Município,Nome do Município,"Produto Interno Bruto, 
a preços correntes
(R$ 1.000)","Produto Interno Bruto per capita, 
a preços correntes
(R$ 1,00)"
2019,3550308,São Paulo," 763,597,808 "," 62,324.22 "
2020,3550308,São Paulo," 748,759,007 "," 60,750.09 "
2018,3550308,São Paulo," 714,663,604 "," 58,690.27 "
2017,3550308,São Paulo," 698,952,189 "," 57,731.63 "
2016,3550308,São Paulo," 683,066,697 "," 56,741.72 "
2015,3550308,São Paulo," 653,646,991 "," 54,617.02 "
2014,3550308,São Paulo," 621,917,372 "," 52,280.01 "
2013,3550308,São Paulo," 582,079,726 "," 49,237.52 "
2012,3550308,São Paulo," 538,877,121 "," 47,366.80 "
2011,3550308,São Paulo," 501,964,421 "," 44,358.35 "
2010,3550308,São Paulo," 450,491,988 "," 40,063.79 "
2018,3304557,Rio de Janeiro," 363,403,233 "," 54,329.08 "
2019,3304557,Rio de Janeiro," 354,932,611 "," 52,825.98 "
2017,3304557,Rio de Janeiro," 337,675,255 "," 51,788.57 "
2020,3304557,Rio de Janeiro," 331,279,902 "," 49,094.40 "
2016,3304557,Rio de Janeiro," 328,440,481 "," 50,538.35 "
2015,3304557,Rio de Janeiro," 320,186,615 "," 49,437.22 "
2014,3304557,Rio de Janeiro," 300,270,152 "," 46,526.95 "
2013,3304557,Rio de Janeiro," 284,299,248 "," 44,215.03 "
2019,5300108,Brasília," 273,613,711 "," 90,742.75 "
2020,5300108,Brasília," 265,847,334 "," 87,016.16 "
2018,5300108,Brasília," 254,817,205 "," 85,661.39 "
2012,3304557,Rio de Janeiro," 253,200,785 "," 39,622.74 "
2017,5300108,Brasília," 244,722,249 "," 80,515.47 "
2016,5300108,Brasília," 235,540,045 "," 79,114.19 "
2011,3304557,Rio de Janeiro," 229,567,799 "," 36,118.57 "
2015,5300108,Brasília," 215,612,863 "," 73,970.99 "
2010,3304557,Rio de Janeiro," 208,153,595 "," 32,919.88 "
2014,5300108,Brasília," 197,432,059 "," 69,216.80 "
2013,5300108,Brasília," 175,906,726 "," 63,054.41 "
2012,5300108,Brasília," 164,101,336 "," 61,959.36 "
2011,5300108,Brasília," 154,568,954 "," 59,221.87 "
2010,5300108,Brasília," 144,174,102 "," 56,252.90 "
2020,3106200,Belo Horizonte," 97,509,893 "," 38,670.40 "
2019,3106200,Belo Horizonte," 97,198,017 "," 38,692.40 "
2019,4106902,Curitiba," 96,113,599 "," 49,719.80 "
2018,3106200,Belo Horizonte," 92,133,758 "," 36,830.29 "
2020,1302603,Manaus," 91,768,773 "," 41,345.11 "
2017,3106200,Belo Horizonte," 88,971,069 "," 35,252.90 "
2016,3106200,Belo Horizonte," 88,397,461 "," 35,169.76 "
2020,4106902,Curitiba," 88,308,728 "," 45,318.46 "
2015,3106200,Belo Horizonte," 87,309,968 "," 34,888.30 "
2014,3106200,Belo Horizonte," 87,248,918 "," 35,024.13 "
2018,4106902,Curitiba," 87,151,907 "," 45,458.27 "
2017,4106902,Curitiba," 84,726,398 "," 44,397.52 "
2019,1302603,Manaus," 84,566,043 "," 38,742.66 "
2015,4106902,Curitiba," 83,856,186 "," 44,619.66 "
2016,4106902,Curitiba," 83,746,837 "," 44,216.98 "
2019,4314902,Porto Alegre," 82,320,598 "," 55,480.66 "
2013,3106200,Belo Horizonte," 82,227,464 "," 33,167.40 "
2019,3534401,Osasco," 81,908,401 "," 117,277.05 "
2014,4106902,Curitiba," 81,198,399 "," 43,551.65 "
2013,4106902,Curitiba," 79,767,473 "," 43,142.13 "
2018,1302603,Manaus," 78,155,386 "," 36,428.54 "
2017,3534401,Osasco," 77,927,043 "," 111,661.57 "
2018,4314902,Porto Alegre," 77,181,703 "," 52,181.50 "
2018,3534401,Osasco," 76,607,992 "," 109,934.70 "
2020,3534401,Osasco," 76,311,814 "," 109,025.60 "
2020,4314902,Porto Alegre," 76,074,563 "," 51,116.72 "
2016,3534401,Osasco," 75,683,470 "," 108,680.97 "
2012,3106200,Belo Horizonte," 74,670,322 "," 31,167.37 "
2017,4314902,Porto Alegre," 73,314,029 "," 49,371.68 "
2017,1302603,Manaus," 73,225,449 "," 34,373.88 "
2016,4314902,Porto Alegre," 72,734,881 "," 49,111.38 "
2012,4106902,Curitiba," 70,637,709 "," 39,756.45 "
2016,1302603,Manaus," 70,234,306 "," 33,534.48 "
