,Município,AVG_IDADE,ID
0,110001 ALTA FLORESTA D'OESTE,34.3,110001
1,110002 ARIQUEMES,31.9,110002
2,110003 CABIXI,35.4,110003
3,110004 CACOAL,34.0,110004
4,110005 CEREJEIRAS,34.9,110005
5,110006 COLORADO DO OESTE,35.9,110006
6,110007 CORUMBIARA,34.4,110007
7,110008 COSTA MARQUES,28.6,110008
8,110009 ESPIGAO D'OESTE,32.8,110009
9,110010 GUAJARA-MIRIM,30.3,110010
10,110011 JARU,33.2,110011
11,110012 JI-PARANA,33.2,110012
12,110013 MACHADINHO D'OESTE,30.9,110013
13,110014 NOVA BRASILANDIA D'OESTE,34.1,110014
14,110015 OURO PRETO DO OESTE,34.4,110015
15,110018 PIMENTA BUENO,32.6,110018
16,110020 PORTO VELHO,31.3,110020
17,110025 PRESIDENTE MEDICI,36.1,110025
18,110026 RIO CRESPO,33.8,110026
19,110028 ROLIM DE MOURA,33.2,110028
20,110029 SANTA LUZIA D'OESTE,36.0,110029
21,110030 VILHENA,31.9,110030
22,110032 SAO MIGUEL DO GUAPORE,32.1,110032
23,110033 NOVA MAMORE,29.9,110033
24,110034 ALVORADA D'OESTE,34.7,110034
25,110037 ALTO ALEGRE DOS PARECIS,32.3,110037
26,110040 ALTO PARAISO,31.9,110040
27,110045 BURITIS,31.3,110045
28,110050 NOVO HORIZONTE DO OESTE,35.8,110050
29,110060 CACAULANDIA,33.2,110060
30,110070 CAMPO NOVO DE RONDONIA,31.0,110070
31,110080 CANDEIAS DO JAMARI,30.2,110080
32,110090 CASTANHEIRAS,36.1,110090
33,110092 CHUPINGUAIA,29.3,110092
34,110094 CUJUBIM,28.3,110094
35,110100 GOVERNADOR JORGE TEIXEIRA,34.6,110100
36,110110 ITAPUA DO OESTE,30.7,110110
37,110120 MINISTRO ANDREAZZA,32.9,110120
38,110130 MIRANTE DA SERRA,34.4,110130
39,110140 MONTE NEGRO,32.6,110140
40,110143 NOVA UNIAO,33.5,110143
41,110145 PARECIS,31.4,110145
42,110146 PIMENTEIRAS DO OESTE,31.6,110146
43,110147 PRIMAVERA DE RONDONIA,35.9,110147
44,110148 SAO FELIPE D'OESTE,36.9,110148
45,110149 SAO FRANCISCO DO GUAPORE,31.6,110149
46,110150 SERINGUEIRAS,33.3,110150
47,110155 TEIXEIROPOLIS,36.2,110155
48,110160 THEOBROMA,34.3,110160
49,110170 URUPA,34.9,110170
50,110175 VALE DO ANARI,33.4,110175
51,110180 VALE DO PARAISO,35.1,110180
52,120001 ACRELANDIA,29.9,120001
53,120005 ASSIS BRASIL,27.4,120005
54,120010 BRASILEIA,30.2,120010
55,120013 BUJARI,30.3,120013
56,120017 CAPIXABA,29.6,120017
57,120020 CRUZEIRO DO SUL,28.0,120020
58,120025 EPITACIOLANDIA,30.2,120025
59,120030 FEIJO,25.6,120030
60,120032 JORDAO,20.6,120032
61,120033 MANCIO LIMA,27.2,120033
62,120034 MANOEL URBANO,26.5,120034
63,120035 MARECHAL THAUMATURGO,22.0,120035
64,120038 PLACIDO DE CASTRO,30.5,120038
65,120039 PORTO WALTER,21.6,120039
66,120040 RIO BRANCO,30.4,120040
67,120042 RODRIGUES ALVES,24.6,120042
68,120043 SANTA ROSA DO PURUS,21.7,120043
69,120045 SENADOR GUIOMARD,30.5,120045
70,120050 SENA MADUREIRA,28.1,120050
71,120060 TARAUACA,24.8,120060
72,120070 XAPURI,29.8,120070
73,120080 PORTO ACRE,30.6,120080
74,130002 ALVARAES,23.7,130002
75,130006 AMATURA,25.1,130006
76,130008 ANAMA,26.9,130008
77,130010 ANORI,26.1,130010
78,130014 APUI,30.1,130014
79,130020 ATALAIA DO NORTE,24.4,130020
80,130030 AUTAZES,27.6,130030
81,130040 BARCELOS,28.5,130040
82,130050 BARREIRINHA,25.2,130050
83,130060 BENJAMIN CONSTANT,24.6,130060
84,130063 BERURI,24.9,130063
85,130068 BOA VISTA DO RAMOS,25.9,130068
86,130070 BOCA DO ACRE,28.6,130070
87,130080 BORBA,26.5,130080
88,130083 CAAPIRANGA,26.6,130083
89,130090 CANUTAMA,30.4,130090
90,130100 CARAUARI,26.4,130100
91,130110 CAREIRO,28.6,130110
92,130115 CAREIRO DA VARZEA,30.3,130115
93,130120 COARI,26.6,130120
94,130130 CODAJAS,27.0,130130
95,130140 EIRUNEPE,25.9,130140
96,130150 ENVIRA,25.2,130150
97,130160 FONTE BOA,26.0,130160
98,130165 GUAJARA,25.7,130165
99,130170 HUMAITA,28.7,130170
100,130180 IPIXUNA,24.2,130180
101,130185 IRANDUBA,28.6,130185
102,130190 ITACOATIARA,28.7,130190
103,130195 ITAMARATI,25.1,130195
104,130200 ITAPIRANGA,28.8,130200
105,130210 JAPURA,24.1,130210
106,130220 JURUA,24.4,130220
107,130230 JUTAI,24.3,130230
108,130240 LABREA,27.2,130240
109,130250 MANACAPURU,28.0,130250
110,130255 MANAQUIRI,26.6,130255
111,130260 MANAUS,30.7,130260
112,130270 MANICORE,27.4,130270
113,130280 MARAA,23.7,130280
114,130290 MAUES,26.0,130290
115,130300 NHAMUNDA,29.0,130300
116,130310 NOVA OLINDA DO NORTE,27.3,130310
117,130320 NOVO AIRAO,28.1,130320
118,130330 NOVO ARIPUANA,28.8,130330
119,130340 PARINTINS,28.2,130340
120,130350 PAUINI,24.6,130350
121,130353 PRESIDENTE FIGUEIREDO,28.3,130353
122,130356 RIO PRETO DA EVA,29.4,130356
123,130360 SANTA ISABEL DO RIO NEGRO,22.6,130360
124,130370 SANTO ANTONIO DO ICA,24.6,130370
125,130380 SAO GABRIEL DA CACHOEIRA,26.8,130380
126,130390 SAO PAULO DE OLIVENCA,26.2,130390
127,130395 SAO SEBASTIAO DO UATUMA,26.1,130395
128,130400 SILVES,27.7,130400
129,130406 TABATINGA,25.9,130406
130,130410 TAPAUA,28.6,130410
131,130420 TEFE,26.5,130420
132,130423 TONANTINS,24.0,130423
133,130426 UARINI,24.6,130426
134,130430 URUCARA,28.6,130430
135,130440 URUCURITUBA,27.0,130440
136,140002 AMAJARI,24.2,140002
137,140005 ALTO ALEGRE,26.9,140005
138,140010 BOA VISTA,29.9,140010
139,140015 BONFIM,27.2,140015
140,140017 CANTA,29.6,140017
141,140020 CARACARAI,28.9,140020
142,140023 CAROEBE,29.6,140023
143,140028 IRACEMA,29.0,140028
144,140030 MUCAJAI,30.0,140030
145,140040 NORMANDIA,23.4,140040
146,140045 PACARAIMA,25.4,140045
147,140047 RORAINOPOLIS,29.4,140047
148,140050 SAO JOAO DA BALIZA,28.7,140050
149,140060 SAO LUIZ,31.6,140060
150,140070 UIRAMUTA,21.3,140070
151,150010 ABAETETUBA,30.9,150010
152,150013 ABEL FIGUEIREDO,31.4,150013
153,150020 ACARA,28.5,150020
154,150030 AFUA,26.0,150030
155,150034 AGUA AZUL DO NORTE,29.9,150034
156,150040 ALENQUER,29.3,150040
157,150050 ALMEIRIM,28.9,150050
158,150060 ALTAMIRA,30.7,150060
159,150070 ANAJAS,24.7,150070
160,150080 ANANINDEUA,33.0,150080
161,150085 ANAPU,27.7,150085
162,150090 AUGUSTO CORREA,27.7,150090
163,150095 AURORA DO PARA,29.2,150095
164,150100 AVEIRO,28.7,150100
165,150110 BAGRE,24.4,150110
166,150120 BAIAO,28.6,150120
167,150125 BANNACH,33.6,150125
168,150130 BARCARENA,29.1,150130
169,150140 BELEM,35.2,150140
170,150145 BELTERRA,31.3,150145
171,150150 BENEVIDES,31.0,150150
172,150157 BOM JESUS DO TOCANTINS,31.5,150157
173,150160 BONITO,28.7,150160
174,150170 BRAGANCA,30.0,150170
175,150172 BRASIL NOVO,32.9,150172
176,150175 BREJO GRANDE DO ARAGUAIA,31.7,150175
177,150178 BREU BRANCO,27.9,150178
178,150180 BREVES,26.9,150180
179,150190 BUJARU,28.5,150190
180,150195 CACHOEIRA DO PIRIA,25.3,150195
181,150200 CACHOEIRA DO ARARI,30.5,150200
182,150210 CAMETA,28.6,150210
183,150215 CANAA DOS CARAJAS,26.9,150215
184,150220 CAPANEMA,33.0,150220
185,150230 CAPITAO POCO,30.8,150230
186,150240 CASTANHAL,31.3,150240
187,150250 CHAVES,26.9,150250
188,150260 COLARES,32.1,150260
189,150270 CONCEICAO DO ARAGUAIA,33.5,150270
190,150275 CONCORDIA DO PARA,27.9,150275
191,150276 CUMARU DO NORTE,29.6,150276
192,150277 CURIONOPOLIS,32.5,150277
193,150280 CURRALINHO,24.8,150280
194,150285 CURUA,26.9,150285
195,150290 CURUCA,32.0,150290
196,150293 DOM ELISEU,29.1,150293
197,150295 ELDORADO DOS CARAJAS,29.8,150295
198,150300 FARO,29.0,150300
199,150304 FLORESTA DO ARAGUAIA,30.3,150304
